normalization,n_clusters,m,clustering_method,defuzz_method,neighbor_method,train_rmse,train_mae,test_rmse,test_mae,train_precision,train_recall,train_accuracy,train_f1_score,test_precision,test_recall,test_accuracy,test_f1_score,avg_max_membership,avg_entropy,elapsed_sec,train_thresholds,train_precision_at_threshold,train_recall_at_threshold,train_f1_score_at_threshold,test_thresholds,test_precision_at_threshold,test_recall_at_threshold,test_f1_score_at_threshold
no_normalization,2,2.5,fcm,maximum,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.5000000098686053,0.693147180359945,40.30437839985825,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,2,2.5,fcm,cog,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.5000000098686053,0.693147180359945,41.23068350018002,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,3,1.2,fcm,maximum,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.4466830769867018,1.0196788507388004,37.70855029998347,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,3,1.2,fcm,cog,pearson,2.867256509855853,2.5139138270126584,,,0.5890109890109891,0.1380852792403891,0.5890109890109891,0.2109948927198569,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.4466830769867018,1.0196788507388004,43.236222699983045,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5890109890109891, 0.5772307692307693, 0.5654505494505495, 0.5536703296703298, 0.54189010989011]","[0.1380852792403891, 0.13532357365558131, 0.13256186807077353, 0.12980016248596574, 0.12703845690115798]","[0.2109948927198569, 0.20677499486545978, 0.20255509701106264, 0.19833519915666548, 0.19411530130226837]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,3,1.5,fcm,maximum,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.3333333609092669,1.0986122883681049,40.63493509986438,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,3,1.5,fcm,cog,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.3333333609092669,1.0986122883681049,54.95062380004674,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,3,1.8,fcm,maximum,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.3333333472395507,1.0986122883681082,41.51980300014839,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,3,1.8,fcm,cog,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.3333333472395507,1.0986122883681082,54.60646849987097,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,3,2.0,fcm,maximum,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.333333347922563,1.0986122883681082,40.67599790007807,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,3,2.0,fcm,cog,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.333333347922563,1.0986122883681082,54.85958099993877,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
